"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","T","Verified Purchase","Reviewed in Canada on 14 February 2021","4.2 out of 5 stars","        The review for:""Sennheiser CX400BT True Wireless Earbuds"".Ships from and sold by Amazon.ca.Overall: 5/5Sound quality: 6/5Bass quality: 3/5Functional feature: 4/5Bluetooth connection: 3/5Fit in ear: 4/5Battery life: 3/5Passive noise cancellation: 4/5Active noise cancellation: n/aTransparent hearing: n/aBudget friendly: 5/5Mono/Independent mode: n/aStatic noise: barely noticeableWaterproof: --Delivery: 6 daysPurchased time: Jan 2021Scale5=best      6=superior4=good3=decent2=poor1=better than nothing0=better without itn/a=nonesp=depends on individuals or situations--=haven't test, measure, nor paying attentionOverall: 4/5Very good pair, GREAT sound signature and quality. A budget deal for great music earbuds, just like the ""Momentum TWS 2"". The misleading(my case) playtime description is also just like the ""Momentum TWS 2"" as well. The lacking of ANC and transparent mode might massively affect outdoor users.Pros: GREAT sound signature&quality(TWS), customizable touch control, budget friendly to music listeners using TWS.Cons: 4hrs battery, no IPX rating, no transparent mode.Sound quality: 6/5Superior sound quality compare to almost all other true wireless earbuds. Very pleased sound signature that stands out from all other true wireless earbuds. It is not the best sound quality EARPHONES, but I doubt there is any TRUE WIRELESS EARBUDS with a better sound quality than this one.(Only heard the momentum 1&2 TWS might have better sound quality.)Bass quality: 3/5There is decent bass, just not for bass-head.Functional feature: 4/5Have all necessary features for indoor music listening. Customizable control feature could be very enjoyable for using experience.Bluetooth connection: 3/5Decent, not strong compare to others. Only used for music listening, not tested for lagging. Short pauses occasionally happens while playing l, last 0.3-1s each time.Fit in ear: 4/5Comfort in general. Decent secure fit. The size of the buds itself could be a little big, no issue for long time wearing, not recommended for activities with head movements. A little slippery when holding with fingers on the earbuds, much better than the ""Momentum TWS 2"" on hand due to its square shape.Battery life: 3/5Decent but disappointed. Unlike its advertised 7hrs for playtime (50% volume), the playtime I tested barely passed 4hrs, could gain another 40mins when just listen to audiobooks. It could be a lemon, or 3, make it 5 if add the ""Momentum TWS 2"" experience to the list. The white colour I tried got me another 15mins compare to the 2 black colour I've tried.PS: The battery of the case could fully charge the both buds for at least twice for extension.Passive noise cancellation: 4/5Good seal. When wearing both ears, may hard to identify the contents of speaking.Budget friendly: 5/5Considering to the similar sound quality with Momentum 2 TWS, the current price is very budget friendly for music listeners who like to have a pair of quality true wireless earbuds.Purchased price: CDN$ 129.95Review posted: Feb 2021  "
"2","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Jendricio","Verified Purchase","Reviewed in Germany on 11 February 2021","5.0 out of 5 stars","      Habe einige In Ears getestet (im Preissegment bis 150 Euro).Diese Sennheiser haben den für mich bis dato besten Klang. Der Sound ist warm und schön voll. Höhen und Bässe sind nicht betont, so wie es vielfach bei anderen Headsets gemacht wird. Heißt: Wer (einen neutralen) Klang priorisiert, dem sind diese Sennheiser sehr zu empfehlen - vor allem für einen Preis von rund 100 Euro (Stand Februar 2021).Die Touch-Bedienung funktioniert sehr gut. Im Gegensatz zu anderen InEars kann man damit auch einfach die Lautstärke regeln. Bei vielen anderen InEars kann man die Lautstärke meist nur eine Stufe rauf oder runter regeln, hier geht es bei längerem Druck auf eines der InEars stufenlos.Es gibt kein Grundrauschen, was bei Podcasts oder ruhigen Musikpassagen stören könnte.Die Videolatenz (am Android Telefon) ist zu vernachlässigen (für mich kaum wahrnehmbar).Es gibt dennoch Nachteile:Mich störte, dass man nicht beide InEars unabhängig voneinander nutzen kann (der linke funktioniert nicht ohne dass man den rechten verbindet).Der Sitz ist generell gut und angenehm, längere Telefonate funktionierten aber ""mit meinen Ohren"" nicht ohne dass die InEars durch die Bewegung rausgerutscht sind.Es gibt kein(e Angabe zu einem) IPX-Rating (Spritzwasserschutz o.ä.).Und ""Neutral"":Die Spieldauer (sprich Akkuleistung) lag bei ca. 66% Lautstärke auf einem Huawei Android Telefon ein klein wenig mehr als 5 Stunden.Die InEars schalten sich automatisch nach einer Weile ohne Tonübertragung ab. Durch längeres Drücken kann man sie wieder anschalten (ohne dass man sie wieder ins Case legen muss).Das passive Noise-Cancelling ist gut (es gibt kein aktives Noise-Cancelling und auch keinen Transparenzmodus)Das Case selbst fand ich entgegen einiger anderer Reviews kompakt und relativ robust.Die Touch-Bedienung funktioniert nicht (wie zB bei den Airpods Pro) durch Stoff wie zB eine (sehr dünne) Mütze.    "
"3","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Michael Wexler","Verified Purchase","Reviewed in the United States on 11 March 2021","5.0 out of 5 stars","        Let's get the obvious out of the way: these buds are larger than you expect, and heavier, in part due to the 7mm driver (same as the more expensive Momentum line from Sennheiser)... but you won't care about the size or weight, because they just sound so, so incredible.That 7mm  driver does make amazing sound, better than any wireless earbud I've tried, and for around $100 at the time of my purchase, this has better ""quality sound / dollar"" than anything I've tried.But there are some odd design decisions.  The touch surface for the control on the outside of the big block is hypersensitive (even a quick touch from my hand can trigger a pause, much more sensitive than, say, Airpods Pro).  On the good side, you can control volume from these, but it's a bit tricky due to the sensitivity.  For all the audio quality, I found I had to set the volume higher with these than with other earbuds on both iPhone and Windows PC Bluetooth (in Windows,  go to Sound in the Control Panel (under ""Hardware and Sound""), highlight your headphones, click Properties, and select the Enhancements tab. Check ""Loudness Equalization"" and hit Apply to turn this on, helps a ton).  With the plugs in, your do get good isolation from the outside (so ""passive"" noise reduction), though of course, you now hear every breath and gurgle from inside your body, as you do with any sealed-ear device.  Even with a Bluetooth 5.0 connection (they support up to 5.1) on the PC, BT lag is still present; this is really evident watching videos and, to some extent, on video conferences.  The buds stick out from your head, and are heavy, so extended wearing became ear-canal sore, but never really painful.  The ear tips are silicone, but less flexible than from other vendors: I usually wear a medium in other earbuds, but it feels a touch large for my ears; the small felt too small.  I may invest in Comply Foam for the first time.The buds support SBC, AAC and aptX, which is nice for iOS or Android users.  Microphone quality is the usual: it's good enough, but not as good as Airpods Pro, and clearly not the primary focus of the buds.  It'll be ok, but expect to have to repeat sometimes, as with almost every wireless earbud out there.  Also, I missed the auto-shutoff from so many of the other modern earbuds; these just keep playing when you take them out (luckily, due to the hypersensitive touch panels, I accidentally pause when taking them out most times!).Also, an odd design choice means that the ""power pads"" where the buds connect to the terminals in the case is just rear of the earplug; this puts a ridged surface directly touching one of the folds of the ear.  If you push the earpiece all the way in, you are putting the one rough surface directly against your ear.  Sennheiser could have easily put this on, say, the rear-facing portion of the block and let smooth plastic touch the ear, but, well, they didn't.  You'll get used to it, but it's just an unnecessary design choice.Connection is quick with verbal feedback in the buds.  Battery life is as expected, and runs easily the 6 or so hours; the case can give another 12-13.  It takes longer than an Airpod Pro to recharge; it's worth charging over a longer break than just the few minutes other products can charge in.  The case has a USB-C plug, but the included cable is tiny; throw a normal length one in your cart when you buy this.  The case has no wireless charging ability, oh well.  The case is larger than expected, a little heavier than an Airpods Pro case, and due to it's rectangular shape and width, a bit pocket un-friendly.  The top does have a hinge-helper which holds the top open, something more cases should try.Sennheiser has an app for iOS and Android, and it really is necessary.  It allows a firmware update to 2.13.0 that substantially improved connection speed.  You can customize almost all the tap patterns; I added ""play pause"" to the right ear instead of just on the left.  It also lets you store different EQ profiles (just 3 bands, so a bit gross, but better than nothing; there's also a ""touch and slide"" interface but it's really just a layer on the 3 band).  The profiles are stored in the bud, and can be changed live via the app, even if you are listening to another source (so, using the phone to adjust the eq while listening to the computer).  The app lets you control the connections as well; like most BT devices, you can't connect to more than 1 source hot at a time (aka no multipoint), and switching is still manual (Apple's Airpods ecosystem is more automatic, and Bose has done a nice job of having 2 sources mounted at once and having easy swapping between them).These are not sport buds: they don't quite stay in all that well (in my ears) when moving and have 0 water/sweat protection beyond the usual (a bit will probably be fine, but during a heavy workout, these re not fully protected from salty sweat.)So, other than odd choices in where to put the power connectors, the large size of the main block, the sensitivity of the touch panel, and oddities of the eartips size, the sound quality is amazing, far better than I expected from a Bluetooth connection, esp. for the price.  Master and Dynamic has a similar pair that drop in price to around $100, and Yamaha has a nice pair around this price with similar specs, but after trying them all, I'm willing to put up with the odd design choices for that clean Sennheiser sound.  "
"4","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Cliente de Amazon","Verified Purchase","Reviewed in Mexico on 29 December 2020","5.0 out of 5 stars","      Tengo otras marcas de audífonos true wireless como Amps Air 2.0, Sabbat e12, Sony WF-XB700 y estos Sennheiser son los que mejor sonido tienen.El diseño es minimalista y son discretos, a pesar de su tamaño, que no son los más pequeños del mercado. El estuche de carga es de un tamaño muy cómodo para llevar en el bolsillo del pantalón.Los cuatro puntos que me encantan de estos Audífonos son:La comodidad, la duración de la batería, la conexión sólida con el smartphone, y por supuesto, el sonido.Son bastante cómodos, casi no pesan, y te aíslan pasivamente del ruido exterior a pesar de no tener cancelación de ruido activa.La batería le dura hasta 7 horas sin interrupción sin tener que recargarlos en el estuche de carga.La conexión con el smartphone es super sólida. No he tenido ninguna desconexión o dropout durante la reproducción, aún si te alejas a más de 10 metros.El sonido es muy claro, escuchas detalles de los instrumentos que no se escuchan en otros audífonos. La tridimensionalidad del sonido, es decir, el espacio y separación de los instrumentos es impresionante para unos audífonos de este tamaño. Es lo más parecido a unos audífonos de diadema. Se disfrutan mucho viendo películas. Las frecuencias agudas, medias, y graves están presentes cuando los sacas de la caja, solo tienes que descargar la aplicación para personalizar el ecualizador a tu gusto y el preset se guardara en los audífonos. Los agudos son brillantes, los medios muy notables y los graves, créeme, no te decepcionarán, son super claros y profundos.No te los recomiendo para hacer deporte porque no tienen certificación contra agua. Si los quieres para este tipo de actividad ve por los Sony WF-XB700 (Que son los que yo uso para esto) o por los Sennheiser Momentum del modelo mas reciente, claro que a un precio más elevado.Se pueden emparejar hasta a 8 dispositivos. Solo tienes que abrir la configuración del Bluetooth, seleccionarlos de la lista, y se desconectaran automáticamente del dispositivo anterior.En las llamadas, el micrófono no es notable, pero es lo suficientemente bueno para realizar llamadas con el teléfono y te escucharán claramente.La aplicación agrega algunos extras como la personalización del sonido, los controles táctiles y las actualizaciones de firmware de los audífonos, que por cierto, tarda un montón.En resumen, si buscas como yo unos audífonos para escuchar música o películas sin perder todos los detalles con una gran sonido 3D, estos audífonos son para ti.    "
"5","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Cliente de Amazon","Verified Purchase","Reviewed in Spain on 1 March 2021","5.0 out of 5 stars","      Con los auriculares CX 400BT es posible disfrutar de una experiencia de sonido de gama alta, ofrece un sonido equilibrado y sobre todo muy detallado co suficiente autonomía. Buena relación calidad precio.    "
"6","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Gil","Verified Purchase","Reviewed in Singapore on 10 September 2022","5.0 out of 5 stars","        Great sound  "
"7","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","David LAw","Verified Purchase","Reviewed in Mexico on 19 April 2021","5.0 out of 5 stars","      ¡Fue compra para mi esposo, y ya quiero unos para mí!La conexión es bastante intuitiva, no batallamos nada, y el touch lo hace muy práctico.El audio es excelente, incluso en llamadas funcionan perfecto.Son muy cómodos, no molestan y a ratos hasta parece que no traes nada.La duración de la bateria también es magnifica, teniamos unos Bosse que se descargaban rápido, pero estos si aguantan todo el día (7hrs seguidas, pero como lo usa a intervalos, es perfecto para su jornada laboral).Los compramos con descuento en Amazon, pero incluso en precio regular son buena opción.    "
"8","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Sofia Gro.","Verified Purchase","Reviewed in Canada on 4 February 2022","5.0 out of 5 stars","        I have been a fan of true wireless buds for a long time, but the sound quality is always in some way sacrificed. Mostly it's the restrictions of the bud. It can only do so much being that small.I have tried Monster, Samsung, SoundPeats, Meze, Marshall, Anker, and even Klipsch.Among some of the cheaper brands too.So firstly, I have to say I have small ears. It makes it hard for me to family review some of them because they won't fit in my ears comfortably... A poor fit may skew the proper sound I would be getting if they fit...The sound quality is 5 star. Remembering, they are true wireless buds in the moderate price range.I am certainly not an audiophile in the truest sense but I do appreciate and expect the best of what it can do and Sennheiser hasn't disappointed.The sound is crisp, I hear all the hinted instruments in the background that you should in those certain tracks.  The bass is decent, not too overpowering.There is an app that you can adjust the EQ to your liking.Now for you small-eared people; you're going to need to get silicon replacement tips that have the little moulded ear clip thingy to get them to stay in. They come with the standard plug-type. For some of us, this just doesn't work.You just know I'll be standing over the kitchen sink when one decides to pop out.(They are rated for water, but you know...)If you can find the right tip for your ear, they'll be great.(Those Samsung Live Buds have the weirdest, most uncomfortable fit for my ears ever!)The price is right, the product presentation is nice, touch sensors are very sensitive and the battery lasts quite well, which is always relative to how loud you have them up. But for moderate use, quite good; 5-6 hours. Charging time is reasonable.I have not yet connected them to my phone so I cannot speak to the call answer, etc part of that, but I assume it works well. I bought them for music only.I am pleased, and would recommend them.  "
"9","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","Kathy Gallant","Verified Purchase","Reviewed in the United States on 9 May 2021","5.0 out of 5 stars","        Sound qualityThe sound on these things are phenomenal. Even more so for earbuds at this price range. But hey, its Sennheiser.  Also, by using the Sennheiser Smart Control app, you can really make these sound how you want. From high bass, to low treble you can really change a lot. It also has the codecs for many different devices so it will sound great on Apple AND Android devices.Mic is decent and never had any problems with people understanding me even on windy high speed bike rides. Touch controls are great and responsive. Just try not to hit them when scratching your ears! One thing to not is that the right earbud MUST be out for use while the left one can be put back in the case.Build Quality:While the case could feel cheap at times as it just made from plastic, its clear to see that money went into the earbuds. They are very well built and fit great for me. While I don't have the largest ears, I found that the normal size worked the bets. They also come with Small, and large size caps. I also recommend twisting the earbuds inwards for a tighter feel. They have stood in during runs, windy bike rides, and vehicles.Battery:Batter is great. I think it gets about 20 hours with he case. You can check battery by pressing the little button on the back. green for high, yellow medium, and red for critical meaning you need to charge very soon. I think you can get about 4 charges with the case but I've had these for about a month now and I've only had to charge these things about 4 or 5 times and I use them for hours! Also. charger uses USB CProblems:While I think these earbuds are incredible, I do have some things I think they could add. Given the price range, I think earbuds like these should have some form of a transparency mode. While I think they have the hardware for it, the software does not support it. Honestly, This is the only area I'd say these things were ""lacking"". Active noise cancelation would be very nice too for the price but sadly, it is not included. It does have passive noise cancelling and honestly, I don't know the difference.Overall:Overall? Awesome product. These things sound nothing short of incredible and they fit and are built very well. They allow for great customization of buttons and EQ. About as easy to put on as any other earbuds. If you are looking for high quality earbuds, these are it.  "
"10","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone, IEM with Metal Composite Diaphragm, Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, Without Mic)  ","andanithewizard","Verified Purchase","Reviewed in Singapore on 27 June 2022","5.0 out of 5 stars","        Good  "
