"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","Angela","Verified Purchase","Reviewed in Australia on 30 October 2023","3.7 out of 5 stars","        Got for a different device. Surprisingly good sound..I have little ears, and there is just no room to share with glasses  "
"2","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","Josie De leon","Verified Purchase","Reviewed in Australia on 7 September 2023","5.0 out of 5 stars","        I love it. They don’t fall from my ears… and the sounds are also good.  "
"3","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","Iqbal","Verified Purchase","Reviewed in Canada on 20 February 2024","5.0 out of 5 stars","        I liked the idea of these bean earbuds. They work great. I get my earbuds for phone calls and these earbuds meet that reequipment with flying colors. I haven't tested the noise cancelling feature and can't comment.  The sound quality is good. They are very comfortable to wear. These stay in my ears all day long long without any problem. Battery life is good as well. I use all day and by the end just put back in the case to recharge. i charge the charging case once a week. I love these earbuds. I tried Samsung beans a while back and the battery life on these were awful. These Buds Live True Wireless Earbuds are great in battery department. recommended.  "
"4","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","robert barrigan","Verified Purchase","Reviewed in Canada on 12 March 2024","5.0 out of 5 stars","        This was a second purchase of these to get a set for my wife. Works well and decent sound for the price. Could use a little more bass but sound very good. Nice and comfy.  "
"5","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","siavosh karsaz","Verified Purchase","Reviewed in Germany on 5 January 2024","5.0 out of 5 stars","      also.ich bin angenehm überrascht in jeder hinsischt.über die qualität und preisleistung.    "
"6","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","elisa russo","Verified Purchase","Reviewed in Italy on 15 August 2023","5.0 out of 5 stars","      Queste cuffie permettono un abbinamento al telefono automatico e una connessione senza interruzioni con un raggio d'azione fino a 10 metri. Questi auricolari Bluetooth sono leggeri e piccoli, perfetti per ogni occasione grazie anche al loro design ergonomico.Compatibili con le principali marche di cellulare, questo auricolari offrono una batteria con una durata di 24 h e sono impermeabili all’acqua!    "
"7","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","giunta francesco","Verified Purchase","Reviewed in Italy on 10 August 2023","5.0 out of 5 stars","      Cuffie wireless ottimo, ho acquistato questo prodotto perché incuriosito dall’aspetto estetico, devo dire ottime in tutto suono-performance ed dinamica.Posso rispondere alle chiamate con un touch e chiudere la chiamata.Ascoltare musica e cambiare traccia senza toccare il telefono.Ottimo scelta    "
"8","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","giunta francesco",NA,"Reviewed in Italy on 4 September 2023","5.0 out of 5 stars","      Questi mini Auricolari Bluetooth sono un'ottima opzione per chi cerca un paio di cuffie wireless economiche e di buona qualità. La cosa migliore di questi auricolari è la comodità, visto che non sono interni e sono di dimensioni molto piccoli, sono dotate di Bluetooth 5.3, che garantisce una connessione stabile e una bassa latenza.Punti di forza:✅ Qualità audio: Le cuffie offrono una qualità audio buona, con bassi profondi e alti nitidi.✅ Connessione stabile: Le cuffie sono dotate di Bluetooth 5.3, che garantisce una connessione stabile e una bassa latenza.✅ Comodità: Le dimensioni e il fatto che non sono interne rendono questi auricolari le cuffie più comode che abbia mai usato.✅ Comfort: Le cuffie sono leggere e comode da indossare per lunghi periodi di tempo.✅ Durata della batteria: Le cuffie hanno un'autonomia di 5 ore con una singola carica, e la custodia di ricarica offre altre 4 ricariche complete.✅ Prezzo conveniente: Le cuffie sono disponibili a un prezzo molto conveniente, rendendole un'opzione accessibile per tutti.Punti deboli:❌ Controllo touch: Il controllo touch delle cuffie può essere un po' impreciso, ma penso che sia un mio problema, visto che l'ho con tutte le cuffie con comandi touch.Conclusioni:Le Cuffie Bluetooth Mini sono un'ottima scelta per chi cerca un paio di cuffie wireless economiche e di buona qualità e sopratutto comode. Queste cuffie offrono una qualità audio buona, una connessione stabile e una lunga durata della batteria. Unico punto debole, è il controllo touch impreciso ma come già detto penso sia un mio problema perchè  ce l'ho con tutte le cuffie con comandi touch.    "
"9","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","René Martignago",NA,"Reviewed in Italy on 7 August 2023","5.0 out of 5 stars","      Avevo già provato degli auricolari di questo tipo, ma la qualità di questi è superiore. Li ho provati sia in chiamata sia per ascoltare musica e mi hanno piacevolmente colpita. Inizialmente possono dare la sensazione di non essere stabili all'interno dell'orecchio ma ci si rende conto in poco tempo che non è così e l'uso risulta molto confortevole. La confezione è molto compatta e contine i due auricolari inseriti in un case piccolo e maneggevole. Le luci interne consentono di controllare la carica del case e dei singoli auricolari. Unica pecca è che il libretto di istruzioni è solo in cinese e inglese, nonostante ciò è stato molto semplice e immediato accoppiarli al telefono quindi non è un gran difetto. Acquisto consigliato!    "
"10","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","René Martignago",NA,"Reviewed in Italy on 24 July 2023","5.0 out of 5 stars","      Non lo avrei mai detto che un auricolare fatto così a fagiolino si incastrasse così bene nell'orecchio ed invece una volta inserito non si toglie accidentalmente, nemmeno facendo una corsa come ho provato a fare. La durata della batteria va anche oltre le 6 ore dichiarate, almeno nei primissimi utilizzi. Comunque una autonomia più che sufficiente per non dover ricaricare gli auricolari tutte le sere. Anche il pulsante touch che si attiva sfiorando la parte esterna è reattivo. La portata del campo Bluetooth è di 4-5 metri circa, ma quello dipende anche dal cellulare. Direi che sono soddisfatto sotto tutti gli aspetti, solo far attenzione a non perderli o lasciarli nei pantaloni da lavare perché sono effettivamente piccoli e leggeri    "
"11","Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black  ","Laura",NA,"Reviewed in Italy on 14 July 2023","5.0 out of 5 stars","      Certo, non sono della stessa qualità di un paio di AirPods, ma costano anche 6 volte meno... l'audio è più che soddisfacente e la funzione di cancellazione del rumore è apprezzabile. Il controllo a sfioramento funziona bene e la durata delle batterie è di buon livello (magari nel tempo potrebbe deteriorarsi, ma al momento è difficile dirlo).L'articolo è davvero di dimensioni compatte e la vestibilità è veramente comoda e stabile. Unica pecca, il libretto di istruzioni è soltanto in cinese e inglese, anche se tutto sommato sulla pagina Amazon e dalle recensioni e domande e risposte alla fine si possono ricavare tutte le informazioni principali.Soprattuto per il prezzo molto contenuto mi sento di consigliarne l'acquisto a chi cerca un auricolare di buona qualità! ;-)    "
